     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

               18000015      3.37     3.35       1/1334      3.10%    0.80
   17     1    17000062     36.30    34.87         4500
               17000062      3.27     3.25       1/1374      2.17%    0.79
   16     1    16000017     33.06    31.67         4500
               16000017      3.21     3.18       1/1402      2.32%    0.79
   15     1    15000072     29.88    28.53         4500
               15000072      3.14     3.11       1/1432      2.64%    0.79
   14     1    14000134     26.77    25.46         4500
               14000017      3.07     3.02       1/1467      3.12%    0.79
   13     1    13000072     23.72    22.48         4500
               13000062      2.98     2.93       1/1509      4.06%    0.79
   12     1    12000017     20.76    19.58         4500
               12000017      2.88     2.81       1/1565      4.92%    0.78
   11     1    11000095     17.89    16.79         4500
               11000014      2.75     2.68       1/1634      2.38%    0.76
   10     1    10000052     15.15    14.14         6300
               10000055      3.83     3.67       1/1646      8.89%    0.78
    9     1     9000158     11.33     9.91         6000
                9000148      3.56     3.11       1/1685      7.33%    0.73
    8     1     8000161      7.77     6.84         6000
                8000161      3.25     2.87       1/1845     15.70%    0.72
    7     1     7000179      4.52     3.99         6000
                7000179      2.75     2.44       1/2180     37.29%    0.65
    6     1     6000042      1.68     1.52         5950
                6000042      1.68     1.52       1/3539     99.98%    0.48
    5     1     5000583      0.03     0.02         6000
                5000583      0.03     0.02       1/9999      0.00%    0.00
    4     1     4000202      0.01     0.00         6800
                4000202      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000450      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000285      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000351      0.00     0.00         3600
                1000351      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/645  (53层1塔)

  === 工况14 === X+ 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   54     1    54000004    167.37   165.39         4000
               54000014      2.71     2.67       1/1476     22.07%    1.00
   53     1    53000063    175.56   166.30         4500
               53000067      6.96     3.69       1/ 646     14.78%    0.94
   52     1    52000053    171.00   161.84         4500
               52000053      3.34     3.13       1/1348      0.43%    0.78
   51     1    51000068    167.86   158.87         4500
               51000078      3.35     3.14       1/1344      3.21%    0.80
   50     1    50000080    164.71   155.89         4500
               50000070      3.48     3.25       1/1295      3.69%    0.82
   49     1    49000070    161.47   152.83         4500
               49000080      3.62     3.36       1/1244      3.34%    0.88
