   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     35        1          1.42        -11.78         63.97
     34        1          1.82        -13.98         79.96
     33        1          2.33        -15.42         96.35
     32        1          2.67        -17.34        109.64
     31        1          3.16        -18.34        123.89
     30        1          3.43        -20.00        134.47
     29        1          3.88        -20.58        146.39
     28        1          4.08        -21.94        154.06
     27        1          4.48        -22.11        163.33
     26        1          4.59        -23.16        167.92
     25        1          4.93        -22.94        174.39
     24        1          4.96        -23.66        175.97
     23        1          5.21        -23.08        179.55
     22        1          5.16        -23.46        178.12
     21        1          5.32        -22.55        178.76
     20        1          5.19        -22.60        174.43
     19        1          5.25        -21.39        172.17
     18        1          5.03        -21.11        165.14
     17        1          5.00        -19.66        160.13
     16        1          4.71        -19.07        150.74
     15        1          4.58        -17.44        143.27
     14        1          4.22        -16.59        132.00
     13        1          4.00        -14.83        122.53
     12        1          3.59        -13.77        109.90
     11        1          3.29        -11.96         98.88
     10        1          2.84        -10.73         85.45
      9        1          2.49         -8.95         73.48
      8        1          2.03         -7.63         59.97
      7        1          1.64         -5.96         47.85
      6        1          1.20         -4.64         35.20
      5        1          0.82         -3.19         24.04
      4        1          0.87         -3.17         28.48
      3        1          0.44         -3.01          7.48
      2        1          0.18         -1.11          2.56
      1        1          0.07         -0.43          1.29

   振型   7 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         34.09          8.56         12.08
     53        1         43.41         10.15         15.37
     52        1         80.87         16.88        158.41
     51        1        102.73         24.55        227.40
     50        1        130.31         22.83        346.23
     49        1        102.01         17.33        268.23
     48        1         80.70         11.36        203.67
     47        1         56.52          5.99        139.96
     46        1         34.02          0.42         75.85
     45        1         10.53         -4.58         12.92
     44        1        -11.97         -9.44        -47.38
     43        1        -33.23        -13.73       -105.38
     42        1        -53.92        -17.54       -157.48
     41        1        -71.17        -20.80       -205.87
     40        1        -88.16        -23.24       -245.38
     39        1        -99.85        -25.20       -279.82
     38        1       -111.48        -26.09       -303.09
     37        1       -116.52        -26.59       -320.19
     36        1       -130.96        -28.26       -345.52
     35        1       -129.81        -27.30       -345.98
     34        1       -127.38        -24.99       -330.07
     33        1       -119.79        -22.72       -312.58
     32        1       -111.25        -19.25       -280.67
     31        1        -98.37        -15.93       -247.63
     30        1        -84.80        -11.64       -203.38
     29        1        -67.88         -7.52       -158.02
