   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
      7        1          3.83          1.50          4.65
      6        1          2.81          1.10          3.08
      5        1          1.85          0.74          1.81
      4        1          1.92          0.83          1.76
      3        1          0.76          0.68         -0.89
      2        1          0.25          0.20         -0.30
      1        1          0.09          0.06         -0.21

   振型   2 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         -8.95         19.15         15.38
     53        1        -13.31         27.77         22.05
     52        1        -23.17         60.74        216.80
     51        1        -38.15         96.79        406.76
     50        1        -69.88        132.94        767.98
     49        1        -62.07        126.08        721.31
     48        1        -62.48        123.79        704.21
     47        1        -59.63        120.19        691.61
     46        1        -59.90        117.79        674.17
     45        1        -57.04        114.15        660.98
     44        1        -57.16        111.63        643.11
     43        1        -54.31        107.96        629.27
     42        1        -54.29        105.32        610.96
     41        1        -51.45        101.62        596.46
     40        1        -51.30         98.89        577.71
     39        1        -48.49         95.19        562.55
     38        1        -48.23         92.39        543.39
     37        1        -45.47         88.74        527.68
     36        1        -49.66         93.39        540.66
     35        1        -46.95         89.96        526.84
     34        1        -46.29         86.52        502.35
     33        1        -43.66         83.13        487.88
     32        1        -42.93         79.72        463.60
     31        1        -40.38         76.35        448.60
     30        1        -39.57         72.95        424.58
     29        1        -37.09         69.60        409.10
     28        1        -36.21         66.23        385.43
     27        1        -33.80         62.90        369.57
     26        1        -32.86         59.57        346.40
     25        1        -30.54         56.28        330.30
     24        1        -29.53         53.00        307.69
     23        1        -27.30         49.76        291.42
     22        1        -26.24         46.54        269.48
     21        1        -24.09         43.37        253.18
     20        1        -22.98         40.23        232.04
     19        1        -20.93         37.15        215.87
     18        1        -19.78         34.12        195.68
     17        1        -17.84         31.15        179.82
     16        1        -16.66         28.25        160.76
     15        1        -14.84         25.42        145.45
     14        1        -13.65         22.69        127.75
     13        1        -11.95         20.04        113.21
     12        1        -10.77         17.49         96.99
     11        1         -9.20         15.04         83.43
     10        1         -8.04         12.71         68.92
      9        1         -6.61         10.50         56.65
      8        1         -5.48          8.44         44.13
      7        1         -4.22          6.53         33.54
      6        1         -3.19          4.80         23.40
      5        1         -2.13          3.25         15.08
      4        1         -2.27          3.77         16.82
      3        1         -1.07          2.88         12.78
      2        1         -0.36          0.95          4.77
      1        1         -0.13          0.34          1.95

   振型   3 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         -0.73          5.01        -17.29
     53        1         -0.84          7.27        -24.92
     52        1         -8.00         13.69       -244.99
     51        1         -8.49         13.94       -463.83
     50        1         -2.25         42.59       -874.78
     49        1         -5.33         35.59       -824.73
     48        1         -4.85         37.19       -808.37
     47        1         -5.43         34.07       -796.86
     46        1         -4.97         35.56       -779.82
     45        1         -5.51         32.50       -767.34
     44        1         -5.06         33.87       -749.46
     43        1         -5.56         30.87       -735.91
     42        1         -5.11         32.11       -717.14
     41        1         -5.56         29.18       -702.49
     40        1         -5.12         30.29       -682.87
     39        1         -5.52         27.45       -667.21
     38        1         -5.09         28.43       -646.86
     37        1         -5.44         25.69       -630.41
     36        1         -4.38         28.19       -648.61
     35        1         -4.95         25.79       -634.92
     34        1         -4.33         26.25       -608.40
     33        1         -4.85         23.95       -593.87
     32        1         -4.25         24.32       -567.36
     31        1         -4.70         22.12       -552.03
     30        1         -4.13         22.40       -525.48
     29        1         -4.52         20.30       -509.28
     28        1         -3.97         20.48       -482.74
     27        1         -4.30         18.48       -465.75
     26        1         -3.77         18.57       -439.39
     25        1         -4.04         16.68       -421.76
     24        1         -3.54         16.68       -395.63
     23        1         -3.75         14.89       -377.40
     22        1         -3.27         14.80       -351.59
     21        1         -3.42         13.13       -332.87
     20        1         -2.97         12.95       -307.54
     19        1         -3.06         11.39       -288.49
     18        1         -2.63         11.13       -263.81
     17        1         -2.67          9.70       -244.64
     16        1         -2.27          9.37       -220.83
     15        1         -2.26          8.06       -201.81
     14        1         -1.89          7.67       -179.17
     13        1         -1.83          6.49       -160.60
     12        1         -1.49          6.05       -139.31
     11        1         -1.40          5.00       -121.43
     10        1         -1.10          4.52       -101.79
      9        1         -0.97          3.61        -85.01
      8        1         -0.71          3.11        -67.43
      7        1         -0.57          2.34        -52.30
      6        1         -0.36          1.85        -37.38
      5        1         -0.24          1.24        -24.77
      4        1         -0.22          0.96        -28.39
      3        1         -0.09          1.04         -9.66
      2        1         -0.03          0.33         -3.27
      1        1         -0.01          0.12         -1.47

   振型   4 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         -9.12         -3.57         -3.15
     53        1        -12.55         -4.84         -4.35
     52        1        -26.20         -9.79        -41.51
     51        1        -36.61        -14.77        -73.14
     50        1        -52.23        -18.33       -128.83
     49        1        -45.76        -16.10       -113.88
     48        1        -42.30        -14.32       -103.53
     47        1        -37.40        -12.46        -93.72
     46        1        -33.55        -10.63        -82.88
     45        1        -28.52         -8.78        -72.38
     44        1        -24.30         -6.92        -61.10
     43        1        -19.23         -5.09        -50.03
     42        1        -14.71         -3.25        -38.49
     41        1         -9.72         -1.49        -27.10
     40        1         -5.05          0.29        -15.60
     39        1         -0.29          1.93         -4.22
     38        1          4.35          3.58          6.88
     37        1          8.71          5.04         17.86
     36        1         14.12          7.05         29.96
     35        1         18.24          8.43         41.01
     34        1         22.37          9.73         50.50
     33        1         25.86         10.89         60.51
     32        1         29.45         11.95         68.39
     31        1         32.28         12.89         77.06
     30        1         35.30         13.70         83.19
     29        1         37.45         14.41         90.31
     28        1         39.84         14.97         94.53
     27        1         41.25         15.43         99.90
     26        1         42.95         15.73        102.13
     25        1         43.62         15.94        105.65
     24        1         44.62         15.99        105.93
     23        1         44.57         15.96        107.56
     22        1         44.86         15.76        105.94
     21        1         44.09         15.50        105.67
     20        1         43.69         15.06        102.24
     19        1         42.25         14.58        100.14
     18        1         41.16         13.93         95.09
     17        1         39.12         13.25         91.29
     16        1         37.42         12.43         84.87
     15        1         34.86         11.59         79.60
     14        1         32.65         10.63         72.14
     13        1         29.71          9.67         65.75
     12        1         27.09          8.63         57.67
     11        1         23.89          7.60         50.55
     10        1         20.99          6.53         42.32
      9        1         17.68          5.49         34.97
      8        1         14.68          4.46         27.16
      7        1         11.48          3.47         20.26
      6        1          8.61          2.55         13.62
      5        1          5.80          1.72          8.08
      4        1          6.12          1.94          7.77
      3        1          2.48          1.21         -7.34
      2        1          0.89          0.43         -2.76
      1        1          0.36          0.17         -1.20

   振型   5 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1          4.92         -9.80        -23.45
     53        1          7.38        -13.18        -32.35
     52        1          7.49        -27.95       -298.08
     51        1         15.71        -46.92       -539.18
     50        1         36.34        -45.27       -957.93
     49        1         28.74        -42.28       -843.23
     48        1         27.49        -36.49       -764.66
     47        1         24.02        -32.63       -689.09
     46        1         22.30        -26.90       -606.97
     45        1         18.79        -22.81       -526.93
     44        1         16.61        -17.24       -441.89
     43        1         13.13        -12.99       -358.61
     42        1         10.57         -7.71       -272.36
     41        1          7.22         -3.43       -187.87
     40        1          4.38          1.41       -102.73
     39        1          1.26          5.59        -19.57
     38        1         -1.75          9.84         61.75
     37        1         -4.50         13.74        140.65
     36        1         -8.49         18.79        228.79
     35        1        -10.95         22.58        306.26
     34        1        -14.13         25.42        373.03
     33        1        -16.04         28.76        441.90
     32        1        -19.02         30.79        496.56
     31        1        -20.39         33.68        555.56
     30        1        -23.16         34.96        597.90
     29        1        -24.02         37.37        646.08
     28        1        -26.51         37.90        675.26
     27        1        -26.85         39.77        711.39
     26        1        -29.00         39.58        726.97
     25        1        -28.83         40.90        750.69
     24        1        -30.59         40.05        753.18
     23        1        -29.95         40.81        764.35
     22        1        -31.27         39.35        754.07
     21        1        -30.18         39.53        752.70
     20        1        -31.02         37.54        730.39
     19        1        -29.51         37.15        716.96
     18        1        -29.84         34.71        683.81
     17        1        -27.96         33.79        659.28
     16        1        -27.79         31.00        616.92
     15        1        -25.61         29.62        582.80
     14        1        -24.96         26.61        533.53
     13        1        -22.55         24.86        492.02
     12        1        -21.45         21.75        438.15
     11        1        -18.88         19.71        391.32
     10        1        -17.35         16.63        335.42
      9        1        -14.70         14.43        285.96
      8        1        -12.83         11.53        231.11
      7        1        -10.20          9.32        182.41
      6        1         -8.12          6.79        132.46
      5        1         -5.67          4.79         89.21
      4        1         -6.41          6.80        104.32
      3        1         -3.29          5.03         62.74
      2        1         -1.22          1.96         24.34
      1        1         -0.49          0.78         10.60

   振型   6 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1          3.64        -25.65         25.97
     53        1          4.88        -34.74         36.36
     52        1         19.33        -66.35        343.53
     51        1         22.69        -84.06        625.70
     50        1         19.64       -148.22       1113.61
     49        1         21.48       -122.52        988.93
     48        1         19.96       -113.66        905.49
     47        1         18.98        -96.82        824.58
     46        1         17.26        -86.69        735.14
     45        1         15.87        -70.27        647.10
     44        1         13.89        -58.96        552.08
     43        1         12.09        -43.24        458.20
     42        1          9.89        -31.07        359.69
     41        1          7.73        -16.46        262.57
     40        1          5.37         -3.86        163.74
     39        1          2.96          9.15         67.00
     38        1          0.55         21.61        -28.13
     37        1         -1.97         32.50       -120.01
     36        1         -4.27         47.49       -219.48
     35        1         -6.81         56.65       -307.52
     34        1         -8.73         67.21       -384.38
     33        1        -11.20         74.11       -463.17
     32        1        -12.81         83.36       -527.04
     31        1        -15.17         88.17       -595.54
     30        1        -16.47         96.14       -646.43
     29        1        -18.65         98.94       -703.74
     28        1        -19.60        105.49       -740.61
     27        1        -21.52        106.30       -785.17
     26        1        -22.08        111.31       -807.23
     25        1        -23.68        110.26       -838.35
     24        1        -23.84        113.72       -845.90
     23        1        -25.05        110.94       -863.15
     22        1        -24.81        112.78       -856.25
     21        1        -25.59        108.40       -859.34
     20        1        -24.94        108.63       -838.51
     19        1        -25.26        102.83       -827.63
     18        1        -24.20        101.49       -793.87
     17        1        -24.04         94.51       -769.78
     16        1        -22.62         91.69       -724.64
     15        1        -22.00         83.81       -688.71
     14        1        -20.27         79.74       -634.55
     13        1        -19.22         71.31       -589.04
     12        1        -17.25         66.18       -528.30
     11        1        -15.82         57.51       -475.33
     10        1        -13.67         51.58       -410.76
      9        1        -11.95         43.02       -353.21
      8        1         -9.74         36.66       -288.29
      7        1         -7.86         28.63       -230.02
      6        1         -5.76         22.31       -169.20
      5        1         -3.96         15.34       -115.58
      4        1         -4.16         15.25       -136.89
      3        1         -2.11         14.48        -35.95
      2        1         -0.84          5.33        -12.33
      1        1         -0.34          2.08         -6.18

   振型   7 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         11.28          2.83          4.00
     53        1         14.37          3.36          5.09
     52        1         26.77          5.59         52.43
     51        1         34.00          8.13         75.26
     50        1         43.13          7.55        114.59
     49        1         33.76          5.73         88.77
     48        1         26.71          3.76         67.41
     47        1         18.70          1.98         46.32
     46        1         11.26          0.14         25.10
     45        1          3.48         -1.52          4.28
     44        1         -3.96         -3.13        -15.68
     43        1        -11.00         -4.55        -34.88
     42        1        -17.84         -5.80        -52.12
     41        1        -23.56         -6.88        -68.14
     40        1        -29.18         -7.69        -81.21
     39        1        -33.05         -8.34        -92.61
     38        1        -36.90         -8.64       -100.31
     37        1        -38.56         -8.80       -105.97
     36        1        -43.34         -9.35       -114.35
     35        1        -42.96         -9.03       -114.51
     34        1        -42.16         -8.27       -109.24
     33        1        -39.65         -7.52       -103.45
     32        1        -36.82         -6.37        -92.89
     31        1        -32.56         -5.27        -81.96
     30        1        -28.07         -3.85        -67.31
     29        1        -22.46         -2.49        -52.30
     28        1        -16.73         -0.91        -34.95
     27        1        -10.32          0.60        -17.29
     26        1         -3.92          2.19          1.02
     25        1          2.65          3.71         19.55
     24        1          9.15          5.19         37.13
     23        1         15.36          6.60         54.89
     22        1         21.41          7.84         70.13
     21        1         26.71          9.03         85.50
     20        1         31.78          9.93         97.02
     19        1         35.71         10.78        108.59
     18        1         39.36         11.26        115.32
     17        1         41.60         11.71        122.07
     16        1         43.52         11.75        123.44
     15        1         43.87         11.76        124.80
     14        1         43.95         11.35        120.81
     13        1         42.47         10.95        116.94
     12        1         40.80         10.16        108.26
     11        1         37.70          9.40         99.79
     10        1         34.48          8.32         87.47
      9        1         30.13          7.28         75.59
      8        1         25.80          6.05         61.27
      7        1         20.75          4.88         47.82
      6        1         15.94          3.65         33.75
      5        1         10.97          2.54         21.37
      4        1         11.82          3.10         22.51
      3        1          5.14          2.11        -10.17
      2        1          1.92          0.80         -4.09
      1        1          0.80          0.33         -1.85

   振型   8 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1          2.73         13.76        -33.78
     53        1          3.67         16.66        -44.88
     52        1         -5.46         26.43       -385.76
     51        1         -0.48         23.70       -665.02
     50        1         14.58         55.73      -1088.60
     49        1          8.49         38.48       -877.36
     48        1          7.65         31.08       -704.99
     47        1          5.46         19.53       -532.35
     46        1          4.21         11.02       -353.19
     45        1          2.34          0.82       -175.93
     44        1          0.79         -8.19         -0.31
     43        1         -0.65        -16.36        168.72
     42        1         -2.34        -25.03        326.64
     41        1         -3.27        -30.53        472.64
     40        1         -4.95        -37.99        598.54
     39        1         -5.34        -40.39        707.70
     38        1         -6.85        -45.84        789.53
     37        1         -6.69        -44.96        851.10
     36        1        -10.01        -50.92        936.92
     35        1         -9.08        -47.41        952.41
     34        1        -10.03        -47.15        924.04
     33        1         -8.65        -41.52        889.59
     32        1         -9.04        -39.05        815.83
     31        1         -7.40        -32.04        738.52
     30        1         -7.22        -27.66        628.82
     29        1         -5.50        -19.88        516.47
     28        1         -4.77        -13.97        381.47
     27        1         -3.13         -6.13        245.35
     26        1         -1.94          0.76         99.37
     25        1         -0.54          7.96        -46.48
     24        1          1.03         15.32       -190.68
     23        1          2.11         21.36       -334.14
     22        1          3.94         28.62       -463.99
     21        1          4.61         33.05       -592.37
     20        1          6.56         39.63       -696.28
     19        1          6.79         42.10       -798.18
     18        1          8.71         47.49       -867.03
     17        1          8.48         47.85       -933.58
     16        1         10.19         51.62       -961.51
     15        1          9.53         49.86       -987.22
     14        1         10.90         51.76       -972.78
     13        1          9.87         48.14       -957.50
     12        1         10.79         48.11       -904.22
     11        1          9.47         42.99       -851.07
     10        1          9.87         41.11       -765.21
      9        1          8.35         34.98       -681.12
      8        1          8.18         31.54       -572.95
      7        1          6.55         25.00       -469.17
      6        1          5.83         20.50       -352.99
      5        1          4.19         14.30       -246.00
      4        1          5.12         12.23       -297.44
      3        1          2.42         14.21       -137.10
      2        1          0.88          5.33        -53.88
      1        1          0.37          2.12        -25.01

   振型   9 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         -5.37         44.68         34.46
     53        1         -9.26         53.15         43.14
     52        1        -10.79         90.60        332.31
     51        1        -23.14        123.97        569.78
     50        1        -47.86        137.79        939.25
     49        1        -38.06        105.62        742.67
     48        1        -34.58         76.90        582.21
     47        1        -28.37         48.14        423.42
     46        1        -23.02         19.79        261.24
     45        1        -15.88         -7.17        102.37
     44        1         -8.87        -33.33        -52.67
     43        1         -1.33        -56.58       -200.75
     42        1          6.69        -78.45       -337.08
     41        1         13.88        -96.13       -462.47
     40        1         22.03       -111.85       -568.95
     39        1         28.03       -122.49       -661.00
     38        1         35.32       -130.70       -728.63
     37        1         39.34       -133.52       -779.43
     36        1         49.80       -145.16       -853.64
     35        1         51.40       -140.57       -864.17
     34        1         54.45       -132.40       -834.07
     33        1         53.27       -121.41       -797.53
     32        1         53.43       -107.45       -724.87
     31        1         49.69        -91.61       -648.32
     30        1         46.94        -73.40       -542.85
     29        1         40.89        -54.10       -434.63
     28        1         35.38        -33.26       -307.18
     27        1         27.56        -12.22       -178.70
     26        1         19.86          9.25        -43.23
     25        1         11.06         30.11         91.99
     24        1          1.79         50.60        223.30
     23        1         -7.29         69.79        353.60
     22        1        -17.33         87.70        468.98
     21        1        -25.83        103.71        582.69
     20        1        -35.68        117.67        671.89
     19        1        -42.76        129.26        758.99
     18        1        -51.43        138.22        814.34
     17        1        -56.31        144.53        867.52
     16        1        -62.90        147.88        884.74
     15        1        -64.99        148.51        900.11
     14        1        -68.78        146.21        879.11
     13        1        -67.84        141.44        857.79
     12        1        -68.49        134.03        802.90
     11        1        -64.54        124.49        748.90
     10        1        -61.94        112.84        666.91
      9        1        -55.31         99.60        587.56
      8        1        -49.74         85.04        488.57
      7        1        -41.12         69.68        394.91
      6        1        -33.36         54.06        292.54
      5        1        -23.94         38.74        200.28
      4        1        -27.58         47.99        238.47
      3        1        -15.33         44.30        218.59
      2        1         -6.02         17.54         90.47
      1        1         -2.44          7.04         38.64

   振型  10 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1        -17.76         -2.97         -3.93
     53        1        -20.26         -2.63         -4.29
     52        1        -30.31         -1.50        -59.86
     51        1        -31.97         -1.85        -52.36
     50        1        -30.85          0.38        -50.49
     49        1        -17.47          1.26        -23.30
     48        1         -6.21          2.30          0.26
     47        1          4.68          3.11         22.43
     46        1         14.75          3.75         41.78
     45        1         23.21          4.22         58.72
     44        1         30.81          4.35         71.18
     43        1         35.70          4.39         80.28
     42        1         39.66          4.00         83.88
     41        1         40.27          3.59         83.63
     40        1         39.99          2.75         77.84
     39        1         36.40          1.96         68.40
     38        1         32.10          0.81         54.47
     37        1         25.22         -0.22         37.79
     36        1         19.48         -1.56         19.81
     35        1         10.63         -2.76         -1.66
     34        1          1.75         -3.94        -22.95
     33        1         -7.16         -4.98        -44.02
     32        1        -15.58         -5.80        -61.97
     31        1        -23.06         -6.52        -78.83
     30        1        -29.73         -6.84        -90.37
     29        1        -34.63         -7.09       -100.09
     28        1        -38.44         -6.84       -103.01
     27        1        -39.95         -6.54       -103.65
     26        1        -40.29         -5.73        -97.33
     25        1        -38.28         -4.91        -88.88
     24        1        -35.25         -3.65        -74.46
     23        1        -30.14         -2.41        -58.17
     22        1        -24.27         -0.87        -37.86
     21        1        -16.94          0.64        -16.31
     20        1         -9.24          2.24          6.60
     19        1         -0.92          3.79         29.90
     18        1          7.29          5.21         51.57
     17        1         15.17          6.57         72.73
     16        1         22.50          7.60         89.49
     15        1         28.59          8.56        104.94
     14        1         33.80          9.05        113.99
     13        1         37.16          9.47        121.33
     12        1         39.50          9.36        121.42
     11        1         39.70          9.20        119.68
     10        1         38.90          8.51        110.99
      9        1         36.03          7.81        100.83
      8        1         32.38          6.69         85.31
      7        1         27.14          5.60         69.27
      6        1         21.58          4.28         50.66
      5        1         15.32          3.06         33.28
      4        1         16.96          3.95         36.42
      3        1          7.99          2.76        -14.56
      2        1          3.12          1.13         -6.01
      1        1          1.33          0.49         -2.65

   振型  11 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1        -20.82        -42.02         37.24
     53        1        -19.75        -40.29         49.62
     52        1         -3.60        -41.46        378.81
     51        1         -3.04        -32.17        640.14
     50        1         -6.43        -48.86        932.88
     49        1          3.33        -21.69        659.50
     48        1          8.29         -3.07        418.82
     47        1         12.32         16.14        179.63
     46        1         15.21         33.12        -55.06
     45        1         16.02         46.14       -274.95
     44        1         16.49         58.72       -469.59
     43        1         14.34         63.74       -634.28
     42        1         12.65         69.78       -755.58
     41        1          8.48         66.35       -836.02
     40        1          5.42         64.95       -863.03
     39        1          0.63         54.25       -846.09
     38        1         -2.67         46.07       -776.82
     37        1         -6.62         30.85       -669.98
     36        1         -8.95         19.31       -557.57
     35        1        -11.66          2.99       -385.72
     34        1        -12.93        -11.60       -189.40
     33        1        -13.23        -25.79          9.96
     32        1        -12.92        -39.06        205.76
     31        1        -10.98        -49.03        394.37
     30        1         -9.44        -59.26        556.72
     29        1         -5.92        -63.78        702.86
     28        1         -3.72        -69.41        802.19
     27        1          0.38        -67.85        878.38
     26        1          2.49        -68.06        896.45
     25        1          6.08        -61.02        891.05
     24        1          7.46        -56.00        827.75
     23        1          9.73        -44.69        742.65
     22        1          9.97        -35.20        608.87
     21        1         10.45        -21.45        458.94
     20        1          9.51         -8.94        278.45
     19        1          8.19          5.09         90.37
     18        1          6.38         18.72       -104.51
     17        1          3.71         30.86       -296.96
     16        1          1.60         43.50       -470.99
     15        1         -1.63         51.89       -632.84
     14        1         -3.35         61.59       -754.39
     13        1         -6.29         65.09       -858.07
     12        1         -7.07         70.62       -908.82
     11        1         -9.04         68.94       -938.79
     10        1         -8.61         69.60       -911.67
      9        1         -9.24         63.20       -865.18
      8        1         -7.70         59.10       -768.13
      7        1         -7.05         49.22       -658.08
      6        1         -4.90         41.39       -514.48
      5        1         -3.52         30.04       -370.28
      4        1         -3.36         29.19       -460.27
      3        1         -2.37         35.48       -197.91
      2        1         -1.04         14.29        -81.38
      1        1         -0.42          5.86        -39.16

   振型  12 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1        -20.94        -15.78        -17.69
     53        1        -19.92        -13.87        -19.24
     52        1        -22.63         -9.43       -174.79
     51        1        -11.87        -11.93       -198.37
     50        1          7.52         -3.99       -248.32
     49        1         14.32          0.05       -150.96
     48        1         20.96          4.76        -67.30
     47        1         24.72          8.42         12.18
     46        1         26.97         11.61         84.46
     45        1         26.14         13.92        148.25
     44        1         23.70         15.20        198.95
     43        1         18.76         15.87        237.28
     42        1         12.45         15.18        258.88
     41        1          4.97         14.22        266.44
     40        1         -3.28         11.89        257.08
     39        1        -10.95          9.64        234.84
     38        1        -18.59          6.30        199.02
     37        1        -23.99          3.35        154.17
     36        1        -31.06         -0.07        108.37
     35        1        -32.59         -3.24         50.12
     34        1        -32.60         -6.36         -9.42
     33        1        -29.74         -8.98        -66.92
     32        1        -25.33        -11.03       -117.41
     31        1        -18.97        -12.74       -163.21
     30        1        -11.33        -13.54       -196.98
     29        1         -3.01        -14.17       -224.33
     28        1          5.98        -13.69       -236.44
     27        1         14.08        -13.21       -241.55
     26        1         22.07        -11.65       -231.39
     25        1         27.87        -10.26       -215.61
     24        1         32.97         -7.98       -187.25
     23        1         35.04         -5.97       -154.91
     22        1         35.95         -3.38       -114.23
     21        1         33.69         -1.09        -71.76
     20        1         30.11          1.40        -26.21
     19        1         23.96          3.64         18.89
     18        1         16.70          5.68         61.72
     17        1          8.10          7.56        102.14
     16        1         -1.13          8.90        135.72
     15        1        -10.08         10.21        165.45
     14        1        -18.99         10.75        185.18
     13        1        -26.12         11.38        200.84
     12        1        -32.71         11.16        205.42
     11        1        -36.40         11.12        206.15
     10        1        -39.19         10.25        196.09
      9        1        -38.60          9.61        183.02
      8        1        -37.04          8.28        160.95
      7        1        -32.44          7.18        137.23
      6        1        -27.20          5.61        107.64
      5        1        -20.07          4.27         78.49
      4        1        -23.31          6.62        100.54
      3        1        -12.64          6.85        112.29
      2        1         -5.12          2.89         47.64
      1        1         -2.17          1.16         21.25

   振型  13 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         54.86        -31.89        -26.57
     53        1         58.53        -33.64        -31.22
     52        1         62.76        -49.12        -65.50
     51        1         51.81        -59.39       -287.01
     50        1         26.61        -51.62       -542.29
     49        1         -5.62        -29.63       -412.87
     48        1        -30.97         -8.11       -298.05
     47        1        -51.14         11.35       -178.63
     46        1        -67.34         30.21        -52.00
     45        1        -75.33         45.44         74.82
     44        1        -79.70         58.90        198.12
     43        1        -74.72         67.67        312.97
     42        1        -67.05         73.58        411.21
     41        1        -51.46         74.65        491.75
     40        1        -34.80         72.18        544.00
     39        1        -13.83         65.71        571.44
     38        1          6.20         55.69        563.59
     37        1         25.74         43.37        528.20
     36        1         44.97         31.12        486.59
     35        1         57.79         15.13        389.72
     34        1         66.34         -2.36        262.39
     33        1         69.04        -18.62        125.38
     32        1         68.02        -34.66        -22.11
     31        1         61.07        -48.58       -170.51
     30        1         51.92        -60.82       -309.50
     29        1         37.92        -70.34       -440.71
     28        1         23.63        -76.70       -542.39
     27        1          6.73        -80.10       -628.11
     26        1         -8.35        -79.48       -669.85
     25        1        -23.45        -76.29       -692.32
     24        1        -35.36        -68.95       -666.04
     23        1        -45.01        -59.59       -619.52
     22        1        -50.79        -46.65       -528.12
     21        1        -52.80        -32.53       -419.62
     20        1        -51.24        -16.06       -279.48
     19        1        -45.57          0.57       -129.07
     18        1        -37.53         17.82         32.78
     17        1        -26.15         34.23        195.77
     16        1        -14.26         49.34        347.08
     15        1         -0.64         62.73        489.79
     14        1         11.46         73.14        599.66
     13        1         23.44         81.36        694.34
     12        1         32.40         85.61        743.00
     11        1         39.71         87.47        772.75
     10        1         43.22         85.04        751.71
      9        1         44.26         80.40        712.61
      8        1         41.70         72.03        628.80
      7        1         36.85         62.08        533.25
      6        1         29.63         49.79        409.88
      5        1         21.35         37.09        287.71
      4        1         23.16         49.04        346.47
      3        1          9.69         47.73        190.07
      2        1          3.87         20.08         81.11
      1        1          1.75          8.33         35.08

   振型  14 的地震力
   -------------------------------------------------------
   Floor     Tower       F-y-x         F-y-y         F-y-t
                         (kN)          (kN)         (kN-m)
     54        1         29.24         29.81          3.96
     53        1         23.68         21.47         -0.17
     52        1          7.77         -3.67         52.55
     51        1        -11.32         -9.79        -30.87
     50        1        -36.35        -17.62        -75.55
     49        1        -34.21        -17.36        -61.10
     48        1        -31.15        -17.08        -45.59
     47        1        -24.09        -15.42        -27.81
     46        1        -15.43        -13.17         -7.95
     45        1         -4.75         -9.65         11.99
     44        1          6.09         -5.88         30.06
     43        1         16.11         -1.41         45.34
     42        1         24.79          2.87         55.16
     41        1         30.14          7.03         60.10
     40        1         33.17         10.63         57.95
     39        1         31.74         13.32         50.62
     38        1         27.98         15.26         37.33
     37        1         20.48         15.72         20.63
     36        1         12.63         16.73          1.66
     35        1          1.93         14.86        -18.80
     34        1         -8.63         12.49        -37.15
     33        1        -18.17          9.05        -53.31
     32        1        -26.06          5.58        -63.28
     31        1        -31.18          1.56        -69.39
     30        1        -33.89         -2.16        -67.45
     29        1        -32.99         -5.84        -61.05
     28        1        -29.60         -8.98        -47.36
     27        1        -23.01        -11.48        -30.21
     26        1        -14.84        -13.37         -9.36
     25        1         -5.07        -14.25         12.57
     24        1          4.99        -14.66         33.52
     23        1         14.65        -13.87         52.95
     22        1         23.20        -12.82         66.84
     21        1         29.45        -10.63         76.97
     20        1         33.55         -8.43         78.71
     19        1         34.24         -5.40         75.63
     18        1         32.45         -2.53         64.08
     17        1         27.31          0.67         48.29
     16        1         20.23          3.61         26.84
     15        1         11.01          6.32          3.17
     14        1          1.12          8.76        -21.22
     13        1         -8.99         10.51        -45.03
     12        1        -18.43         12.10        -64.58
     11        1        -26.19         12.66        -81.05
     10        1        -32.16         13.19        -89.52
      9        1        -35.09         12.56        -93.44
      8        1        -35.74         11.98        -88.28
      7        1        -33.09         10.38        -78.89
      6        1        -28.54          8.88        -62.61
      5        1        -21.71          6.70        -44.55
