
     **********************************************************
                                 ¸÷²ã¸÷ËþµÄ¹æ¶¨Ë®Æ½Á¦
     **********************************************************

  ²ãºÅ   ËþºÅ        XÏò(KN)         YÏò(KN)
   46     1          1243.2          1233.8
   45     1           505.4           606.3
   44     1          1015.9          1200.4
   43     1           640.6           748.8
   42     1           541.1           613.4
   41     1           489.5           505.0
   40     1           475.4           430.9
   39     1           474.0           390.3
   38     1           465.9           376.1
   37     1           470.9           396.3
   36     1           454.4           403.2
   35     1           436.2           402.2
   34     1           513.3           479.9
   33     1           626.7           580.7
   32     1           581.6           524.3
   31     1           394.1           352.4
   30     1           361.3           323.8
   29     1           346.9           314.4
   28     1           329.9           303.7
   27     1           313.3           291.7
   26     1           300.1           279.7
   25     1           291.8           269.5
   24     1           287.0           262.1
   23     1           347.8           317.5
   22     1           417.1           387.9
   21     1           379.2           358.7
   20     1           262.3           245.7
   19     1           245.8           226.8
   18     1           237.4           218.8
   17     1           224.2           212.3
   16     1           208.5           207.9
   15     1           194.3           205.0
   14     1           184.8           201.8
   13     1           179.8           196.0
   12     1           217.5           230.6
   11     1           168.0           177.0
   10     1           147.5           162.3
    9     1           132.9           163.0
    8     1           125.8           175.9
    7     1           217.7           322.0
    6     1           242.5           346.0
    5     1           188.2           235.8
    4     1           587.9           587.9
    3     1             0.0             0.0
    2     1             0.0             0.0
    1     1             0.0             0.0

     **********************************************************
              ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø
     **********************************************************

  ²ãºÅ   ËþºÅ         ¿ò¼ÜÖù     ¶ÌÖ«Ç½       ÆÕÍ¨Ç½       Ð±³Å       ºÏ¼Æ
   11     1    X      1807.7    17629.9        0.0    19437.6        9.30%          90.70%
   10     1    X      2169.3    17547.0        0.0    19716.3       11.00%          89.00%
    9     1    X      2070.5    17899.7        0.0    19970.2       10.37%          89.63%
    8     1    X      1891.0    18315.9        0.0    20206.9        9.36%          90.64%
    7     1    X      1420.2    19200.3        0.0    20620.5        6.89%          93.11%
    6     1    X      2358.8    18389.8        0.0    20748.6       11.37%          88.63%
    5     1    X      2338.6    18505.0        0.0    20843.6       11.22%          88.78%
    4     1    X      3103.0    17987.9        0.0    21090.8       14.71%          85.29%
    3     1    X     -4186.7   -35621.7        0.0   -39808.4       10.52%          89.48%
    2     1    X      1770.0    -7413.8        0.0    -5643.8       31.36%         131.36%
    1     1    X      -106.1    -3185.3        0.0    -3291.4        3.22%          96.78%

   46     1    Y      2256.9    -1592.0        0.0      665.0      339.42%         239.42%
   45     1    Y      2448.7     -982.7        0.0     1466.0      167.04%          67.04%
   44     1    Y      3024.1     -800.6        0.0     2223.5      136.01%          36.01%
   43     1    Y      2679.6      277.2        0.0     2956.9       90.62%           9.38%
   42     1    Y      2763.9      916.4        0.0     3680.4       75.10%          24.90%
   41     1    Y      2777.4     1616.7        0.0     4394.1       63.21%          36.79%
   40     1    Y      2804.5     2293.5        0.0     5098.0       55.01%          44.99%
   39     1    Y      2824.5     2967.5        0.0     5792.0       48.77%          51.23%
   38     1    Y      2856.6     3619.0        0.0     6475.5       44.11%          55.89%
   37     1    Y      2883.0     4268.7        0.0     7151.7       40.31%          59.69%
   36     1    Y      2712.4     5104.5        0.0     7816.9       34.70%          65.30%
   35     1    Y      3956.6     4516.6        0.0     8473.2       46.70%          53.30%
   34     1    Y      2110.3     7281.8        0.0     9392.1       22.47%          77.53%
   33     1    Y      1877.9     8751.5        0.0    10629.4       17.67%          82.33%
   32     1    Y      4913.8     6345.3        0.0    11259.1       43.64%          56.36%
   31     1    Y      2895.1     8963.8        0.0    11858.9       24.41%          75.59%
   30     1    Y      3252.6     9194.4        0.0    12447.0       26.13%          73.87%
   29     1    Y      3171.9     9852.0        0.0    13023.8       24.35%          75.65%
   28     1    Y      3182.7    10407.1        0.0    13589.8       23.42%          76.58%
   27     1    Y      3161.9    10982.6        0.0    14144.5       22.35%          77.65%
   26     1    Y      3207.0    11481.0        0.0    14688.0       21.83%          78.17%
   25     1    Y      2927.9    12291.5        0.0    15219.5       19.24%          80.76%
   24     1    Y      4398.5    11344.3        0.0    15742.9       27.94%          72.06%
   23     1    Y      2519.0    13956.8        0.0    16475.8       15.29%          84.71%
   22     1    Y      1950.9    15482.3        0.0    17433.2       11.19%          88.81%
   21     1    Y      5018.4    12879.6        0.0    17898.0       28.04%          71.96%
   20     1    Y      2705.6    15650.3        0.0    18355.9       14.74%          85.26%
   19     1    Y      3076.8    15713.6        0.0    18790.3       16.37%          83.63%
   18     1    Y      2935.4    16275.3        0.0    19210.7       15.28%          84.72%
   17     1    Y      2897.4    16719.4        0.0    19616.8       14.77%          85.23%
   16     1    Y      2830.1    17177.3        0.0    20007.3       14.15%          85.85%
   15     1    Y      2770.1    17611.7        0.0    20381.8       13.59%          86.41%
   14     1    Y      2514.4    18225.7        0.0    20740.1       12.12%          87.88%
   13     1    Y      3576.0    17506.0        0.0    21082.0       16.96%          83.04%
   12     1    Y      2362.8    19190.9        0.0    21553.7       10.96%          89.04%
   11     1    Y      2011.3    19862.4        0.0    21873.7        9.20%          90.80%
   10     1    Y      2189.6    19998.7        0.0    22188.3        9.87%          90.13%
    9     1    Y      2102.8    20363.3        0.0    22466.2        9.36%          90.64%
    8     1    Y      1815.8    20900.5        0.0    22716.3        7.99%          92.01%
    7     1    Y      1151.0    22019.4        0.0    23170.4        4.97%          95.03%
    6     1    Y      2350.1    20993.6        0.0    23343.6       10.07%          89.93%
    5     1    Y      2655.9    20819.4        0.0    23475.3       11.31%          88.69%
    4     1    Y      3193.5    20557.3        0.0    23750.8       13.45%          86.55%
    3     1    Y     -4560.4   -49164.2        0.0   -53724.6        8.49%          91.51%
    2     1    Y      2007.8   -13753.9        0.0   -11746.2       17.09%         117.09%
    1     1    Y      -128.0    -4998.1        0.0    -5126.1        2.50%          97.50%

     **********************************************************
                      ·çºÉÔØÍâÁ¦¡¢²ã¼ôÁ¦¡¢Çã¸²Á¦¾ØÍ³¼Æ
     **********************************************************

  ²ãºÅ   ËþºÅ     ²ãÍâÁ¦F     ²ã¼ôÁ¦V     Çã¸²Á¦¾ØM

   +WX
   46     1        573.1        573.1        2120.6
   45     1        696.0       1269.1        7894.9
   44     1        632.5       1901.5       15881.3
   43     1        623.3       2524.8       26485.6
   42     1        614.2       3139.0       39669.4
   41     1        605.1       3744.1       55394.7
   40     1        596.0       4340.1       73623.3
   39     1        587.0       4927.2       94317.3
   38     1        578.0       5505.2      117439.0
   37     1        569.0       6074.2      142950.5
   36     1        560.0       6634.2      170814.2
   35     1        551.0       7185.3      200992.3
   34     1        774.4       7959.6      248750.1
   33     1       1058.4       9018.1      324502.0
   32     1        511.2       9529.3      364524.8
   31     1        502.1      10031.4      406656.6
   30     1        493.0      10524.4      450859.2
   29     1        483.9      11008.3      497094.1
   28     1        474.7      11483.0      545322.8
   27     1        465.5      11948.5      595506.6
   26     1        456.2      12404.7      647606.4
   25     1        446.8      12851.6      701583.0
   24     1        437.4      13289.0      757396.6
   23     1        611.2      13900.2      840797.8
   22     1        828.2      14728.4      964516.1
   21     1        394.4      15122.8     1028031.8
   20     1        384.4      15507.1     1093161.6
   19     1        374.2      15881.3     1159863.0
   18     1        363.8      16245.1     1228092.4
   17     1        353.2      16598.3     1297805.3
   16     1        342.5      16940.8     1368956.6
   15     1        331.5      17272.3     1441500.1
   14     1        320.2      17592.5     1515388.6
   13     1        308.7      17901.2     1590573.6
   12     1        424.0      18325.2     1700524.9
   11     1        299.1      18624.3     1784334.4
