     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况27 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
               23000002      7.05     6.98       1/ 851      2.02%    0.82
   22     1    22000014     78.20    77.59         8400
               22000002      9.69     9.57       1/ 867      3.96%    0.81
   21     1    21000015     68.88    68.18         4200
               21000002      4.66     4.59       1/ 901      2.13%    0.79
   20     1    20000015     64.42    63.66         4200
               20000002      4.56     4.50       1/ 921      2.38%    0.79
   19     1    19000015     60.05    59.24         4200
               19000003      4.45     4.39       1/ 944      2.60%    0.79
   18     1    18000015     55.77    54.91         4200
               18000002      4.33     4.28       1/ 969      2.71%    0.79
   17     1    17000015     51.61    50.70         4200
               17000002      4.21     4.16       1/ 998      2.92%    0.79
   16     1    16000015     47.54    46.60         4200
               16000002      4.08     4.04       1/1030      3.32%    0.79
   15     1    15000014     43.58    42.61         4200
               15000002      3.93     3.91       1/1069      3.54%    0.78
   14     1    14000014     39.73    38.75         4200
               14000015      3.79     3.77       1/1110      4.09%    0.78
   13     1    13000014     35.98    35.01         4200
               13000014      3.68     3.63       1/1142      4.21%    0.77
   12     1    12000015     32.34    31.41         6000
               12000014      5.13     4.97       1/1170      5.99%    0.77
   11     1    11000015     27.25    26.46         4500
               11000015      3.63     3.52       1/1239      5.26%    0.75
   10     1    10000014     23.64    22.95         4500
               10000014      3.43     3.34       1/1311      5.79%    0.75
    9     1     9000014     20.23    19.63         4500
                9000014      3.24     3.15       1/1391      6.79%    0.74
    8     1     8000015     17.01    16.49         4500
                8000015      3.02     2.94       1/1488      9.28%    0.73
    7     1     7000015     13.99    13.56         9000
                7000014      5.52     5.34       1/1631     13.88%    0.71
    6     1     6000014      8.49     8.24         4500
                6000015      2.37     2.30       1/1900     12.04%    0.66
    5     1     5000015      6.13     5.94         4500
                5000015      2.08     2.02       1/2164     34.12%    0.68
    4     1     4000014      3.81     3.69        12500
                4000142      3.81     3.69       1/3281     99.98%    0.51
    3     1     3000068      0.02     0.01         6700
                3000209      0.02     0.01       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000150      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000152      0.00     0.00         3900
                1000152      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/785  (34层1塔)

  === 工况24 === Y+ 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   46     1    46000002    226.30   204.28         3700
               46000003      4.31     4.14       1/ 857      4.60%    1.00
   45     1    45000003    222.03   200.17         4550
               45000003      5.56     5.32       1/ 818      0.70%    0.80
   44     1    44000003    216.53   194.89         4200
               44000002      5.19     4.95       1/ 809      0.85%    0.86
   43     1    43000003    211.41   189.99         4200
               43000002      5.27     4.99       1/ 797      0.77%    0.86
   42     1    42000002    206.22   185.05         4200
               42000003      5.33     5.03       1/ 787      0.72%    0.85
   41     1    41000002    200.97   180.08         4200
               41000003      5.40     5.07       1/ 778      0.64%    0.85
   40     1    40000003    195.65   175.07         4200
               40000003      5.46     5.10       1/ 770      0.50%    0.84
   39     1    39000003    190.28   170.03         4200
               39000003      5.51     5.12       1/ 762      0.34%    0.84
   38     1    38000003    184.86   164.97         4200
               38000003      5.55     5.14       1/ 757      0.01%    0.84
   37     1    37000003    179.40   159.89         4200
               37000003      5.56     5.14       1/ 756      0.28%    0.84
   36     1    36000002    173.93   154.81         4200
               36000002      5.59     5.16       1/ 751      0.05%    0.84
   35     1    35000002    168.42   149.71         4200
               35000003      5.61     5.15       1/ 749      0.59%    0.83
   34     1    34000003    162.90   144.62         6000
               34000002      8.17     7.42       1/ 734      0.11%    0.84
   33     1    33000003    154.85   137.28         8400
               33000003     11.48    10.38       1/ 732      1.43%    0.84
   32     1    32000003    143.55   127.02         4200
               32000003      5.62     5.11       1/ 747      0.53%    0.82
   31     1    31000003    138.01   121.97         4200
               31000002      5.62     5.10       1/ 747      0.34%    0.82
   30     1    30000003    132.47   116.92         4200
               30000003      5.60     5.07       1/ 750      0.65%    0.82
   29     1    29000003    126.95   111.91         4200
               29000002      5.57     5.04       1/ 754      0.71%    0.82
   28     1    28000003    121.45   106.92         4200
               28000003      5.55     5.00       1/ 757      0.78%    0.82
   27     1    27000003    115.98   101.97         4200
               27000003      5.52     4.96       1/ 761      0.88%    0.82
   26     1    26000002    110.53    97.06         4200
               26000003      5.48     4.92       1/ 766      1.01%    0.82
   25     1    25000002    105.11    92.18         4200
               25000002      5.45     4.87       1/ 771      1.32%    0.82
   24     1    24000002     99.73    87.36         4200
               24000003      5.39     4.80       1/ 780      0.44%    0.81
   23     1    23000002     94.41    82.60         6000
               23000003      7.73     6.84       1/ 776      1.83%    0.82
   22     1    22000002     86.77    75.82         8400
               22000002     10.66     9.38       1/ 788      3.89%    0.81
   21     1    21000002     76.24    66.51         4200
               21000002      5.11     4.51       1/ 821      2.05%    0.79
   20     1    20000002     71.18    62.04         4200
               20000002      5.02     4.41       1/ 837      2.39%    0.79
   19     1    19000002     66.21    57.66         4200
               19000002      4.91     4.31       1/ 856      2.59%    0.79
   18     1    18000003     61.35    53.39         4200
               18000003      4.79     4.20       1/ 876      2.72%    0.79
   17     1    17000002     56.61    49.22         4200
               17000002      4.67     4.08       1/ 900      2.94%    0.79
   16     1    16000002     51.98    45.17         4200
               16000003      4.54     3.96       1/ 926      3.34%    0.79
   15     1    15000003     47.48    41.23         4200
               15000002      4.39     3.83       1/ 957      3.59%    0.78
   14     1    14000003     43.13    37.42         4200
               14000002      4.22     3.69       1/ 995      4.18%    0.78
   13     1    13000003     38.94    33.75         4200
               13000003      4.02     3.54       1/1046      4.77%    0.77
   12     1    12000003     34.95    30.23         6000
               12000003      5.44     4.83       1/1103      5.88%    0.76
   11     1    11000003     29.55    25.42         4500
               11000002      3.85     3.40       1/1167      5.15%    0.75
   10     1    10000003     25.71    22.04         4500
               10000002      3.69     3.22       1/1221      5.89%    0.75
    9     1     9000003     22.04    18.83         4500
                9000003      3.50     3.03       1/1286      6.91%    0.74
    8     1     8000002     18.56    15.81         4500
                8000002      3.29     2.82       1/1369      9.56%    0.73
    7     1     7000003     15.28    13.00         9000
                7000002      6.01     5.11       1/1497     13.57%    0.70
    6     1     6000003      9.29     7.91         4500
                6000002      2.59     2.20       1/1738     12.10%    0.66
    5     1     5000003      6.70     5.71         4500
                5000003      2.27     1.94       1/1983     34.13%    0.68
    4     1     4000002      4.18     3.55        12500
                4000002      4.18     3.54       1/2994     99.98%    0.51
    3     1     3000209      0.01     0.01         6700
                3000209      0.01     0.01       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000150      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000152      0.00     0.00         3900
                1000152      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/732  (33层1塔)

  === 工况25 === Y- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   46     1    46000015    223.01   204.13         3700
               46000014      4.22     4.13       1/ 878      4.73%    1.00
   45     1    45000015    218.84   200.03         4550
               45000014      5.51     5.32       1/ 825      0.66%    0.81
   44     1    44000015    213.39   194.76         4200
               44000014      5.16     4.95       1/ 814      0.91%    0.86
   43     1    43000015    208.29   189.86         4200
               43000014      5.23     4.99       1/ 803      0.75%    0.86
   42     1    42000015    203.14   184.92         4200
               42000014      5.29     5.03       1/ 793      0.71%    0.85
   41     1    41000014    197.93   179.95         4200
               41000014      5.35     5.06       1/ 785      0.62%    0.85
   40     1    40000015    192.66   174.94         4200
               40000015      5.41     5.10       1/ 777      0.48%    0.84
   39     1    39000015    187.35   169.91         4200
               39000014      5.45     5.12       1/ 771      0.35%    0.84
   38     1    38000014    182.00   164.85         4200
               38000015      5.49     5.14       1/ 765      0.02%    0.84
   37     1    37000014    176.60   159.78         4200
               37000014      5.50     5.14       1/ 764      0.27%    0.84
   36     1    36000014    171.20   154.70         4200
               36000014      5.52     5.15       1/ 760      0.05%    0.84
   35     1    35000015    165.76   149.61         4200
               35000015      5.53     5.15       1/ 760      1.00%    0.83
   34     1    34000014    160.33   144.52         6000
               34000014      7.98     7.41       1/ 752      0.41%    0.84
   33     1    33000014    152.48   137.19         8400
               33000015     11.17    10.36       1/ 752      1.45%    0.84
   32     1    32000014    141.49   126.95         4200
               32000015      5.50     5.11       1/ 763      0.10%    0.82
   31     1    31000015    136.07   121.90         4200
               31000014      5.50     5.09       1/ 764      0.73%    0.82
   30     1    30000014    130.65   116.87         4200
               30000014      5.48     5.06       1/ 767      0.66%    0.82
   29     1    29000015    125.25   111.86         4200
               29000015      5.45     5.03       1/ 771      0.72%    0.82
   28     1    28000015    119.88   106.88         4200
               28000015      5.42     4.99       1/ 775      0.78%    0.82
   27     1    27000014    114.54   101.94         4200
               27000015      5.39     4.95       1/ 779      0.87%    0.82
   26     1    26000014    109.22    97.03         4200
               26000014      5.35     4.91       1/ 785      1.01%    0.82
   25     1    25000014    103.93    92.17         4200
               25000014      5.31     4.86       1/ 791      1.28%    0.82
   24     1    24000015     98.69    87.35         4200
               24000014      5.25     4.80       1/ 800      0.19%    0.81
   23     1    23000014     93.50    82.59         6000
               23000015      7.52     6.84       1/ 798      2.22%    0.82
   22     1    22000015     86.07    75.81         8400
               22000015     10.33     9.37       1/ 813      4.02%    0.81
   21     1    21000014     75.85    66.52         4200
               21000015      4.93     4.50       1/ 853      2.19%    0.79
   20     1    20000014     70.98    62.06         4200
               20000015      4.83     4.40       1/ 869      2.38%    0.79
   19     1    19000014     66.19    57.69         4200
               19000015      4.73     4.30       1/ 889      2.62%    0.79
   18     1    18000015     61.51    53.42         4200
               18000014      4.61     4.18       1/ 910      2.73%    0.79
   17     1    17000015     56.94    49.27         4200
               17000014      4.51     4.07       1/ 932      2.94%    0.79
   16     1    16000015     52.47    45.22         4200
               16000015      4.40     3.95       1/ 955      3.35%    0.79
   15     1    15000015     48.11    41.30         4200
               15000015      4.28     3.82       1/ 982      3.57%    0.78
   14     1    14000014     43.87    37.50         4200
               14000014      4.16     3.68       1/1009      4.08%    0.78
   13     1    13000014     39.74    33.84         4200
               13000014      4.04     3.53       1/1040      3.90%    0.77
   12     1    12000014     35.73    30.33         6000
               12000015      5.64     4.84       1/1063      6.38%    0.77
   11     1    11000015     30.13    25.52         4500
               11000014      3.98     3.41       1/1131      5.51%    0.75
   10     1    10000015     26.18    22.12         4500
               10000014      3.76     3.23       1/1195      5.89%    0.74
    9     1     9000014     22.43    18.91         4500
                9000015      3.56     3.04       1/1265      6.92%    0.74
    8     1     8000015     18.90    15.88         4500
                8000015      3.33     2.83       1/1350      9.33%    0.73
    7     1     7000014     15.58    13.06         9000
                7000014      6.12     5.13       1/1471     14.12%    0.70
    6     1     6000015      9.48     7.94         4500
                6000015      2.62     2.21       1/1716     11.78%    0.66
    5     1     5000014      6.86     5.73         4500
                5000015      2.30     1.95       1/1954     33.90%    0.68
    4     1     4000015      4.29     3.57        12500
                4000134      4.29     3.57       1/2915     99.98%    0.51
    3     1     3000068      0.02     0.01         6700
                3000068      0.02     0.01       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000150      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000152      0.00     0.00         3900
                1000143      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/752  (34层1塔)

  === 工况3 === +X 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000026    245.81   244.08        1.01         3700
               46000118      3.91     3.26        1.20       1/ 945     20.15%    1.00
   45     1    45000012    242.37   240.97        1.01         4550
               45000057      5.25     4.67        1.12       1/ 867      4.57%    0.92
   44     1    44000006    238.08   236.64        1.01         4200
               44000005      4.68     4.57        1.02       1/ 898      3.07%    0.95
   43     1    43000012    233.62   232.07        1.01         4200
               43000005      4.81     4.71        1.02       1/ 872      3.10%    0.94
   42     1    42000006    229.01   227.36        1.01         4200
               42000011      4.96     4.86        1.02       1/ 846      3.10%    0.89
   41     1    41000012    224.25   222.50        1.01         4200
               41000011      5.12     5.01        1.02       1/ 821      3.01%    0.89
   40     1    40000012    219.35   217.49        1.01         4200
               40000011      5.27     5.16        1.02       1/ 797      2.77%    0.88
   39     1    39000006    214.30   212.33        1.01         4200
               39000005      5.41     5.30        1.02       1/ 776      2.22%    0.88
   38     1    38000006    209.10   207.03        1.01         4200
               38000011      5.54     5.42        1.02       1/ 758      1.07%    0.88
   37     1    37000012    203.80   201.61        1.01         4200
               37000005      5.62     5.48        1.03       1/ 747      2.07%    0.86
   36     1    36000006    198.47   196.13        1.01         4200
               36000011      5.74     5.59        1.03       1/ 732      2.01%    0.86
   35     1    35000006    193.02   190.53        1.01         4200
               35000005      5.84     5.70        1.02       1/ 719      4.00%    0.86
   34     1    34000012    187.45   184.83        1.01         6000
               34000011      8.69     8.47        1.03       1/ 691      1.87%    0.88
   33     1    33000010    179.20   176.36        1.02         8400
               33000011     12.36    12.08        1.02       1/ 680      1.61%    0.88
   32     1    32000006    167.38   164.27        1.02         4200
               32000011      6.07     5.95        1.02       1/ 692      0.41%    0.84
   31     1    31000006    161.56   158.33        1.02         4200
               31000011      6.10     5.97        1.02       1/ 688      0.22%    0.83
   30     1    30000012    155.72   152.36        1.02         4200
               30000005      6.11     5.98        1.02       1/ 687      0.36%    0.83
   29     1    29000006    149.87   146.37        1.02         4200
               29000011      6.14     6.01        1.02       1/ 684      0.31%    0.84
   28     1    28000012    143.99   140.37        1.03         4200
               28000011      6.15     6.02        1.02       1/ 682      0.21%    0.84
   27     1    27000006    138.10   134.34        1.03         4200
               27000011      6.17     6.04        1.02       1/ 681      0.06%    0.84
   26     1    26000006    132.19   128.30        1.03         4200
               26000005      6.17     6.04        1.02       1/ 681      0.17%    0.84
   25     1    25000012    126.28   122.26        1.03         4200
               25000005      6.15     6.03        1.02       1/ 683      0.75%    0.83
   24     1    24000006    120.37   116.23        1.04         4200
               24000005      6.11     5.99        1.02       1/ 688      0.07%    0.83
   23     1    23000006    114.50   110.25        1.04         6000
               23000005      8.72     8.54        1.02       1/ 688      1.19%    0.83
   22     1    22000006    106.14   101.70        1.04         8400
               22000011     12.06    11.81        1.02       1/ 696      4.15%    0.82
   21     1    21000006     94.58    89.89        1.05         4200
               21000005      5.74     5.66        1.01       1/ 731      1.48%    0.79
   20     1    20000006     89.00    84.23        1.06         4200
               20000011      5.64     5.58        1.01       1/ 745      1.51%    0.79
   19     1    19000012     83.47    78.65        1.06         4200
               19000005      5.53     5.49        1.01       1/ 760      1.50%    0.80
   18     1    18000006     78.01    73.15        1.07         4200
               18000005      5.42     5.41        1.00       1/ 774      1.59%    0.81
   17     1    17000006     72.61    67.74        1.07         4200
               17000012      5.34     5.33        1.00       1/ 787      1.77%    0.81
   16     1    16000006     67.27    62.42        1.08         4200
               16000012      5.28     5.23        1.01       1/ 796      2.03%    0.81
   15     1    15000006     62.00    57.18        1.08         4200
               15000012      5.21     5.13        1.02       1/ 807      2.41%    0.80
   14     1    14000006     56.79    52.06        1.09         4200
               14000012      5.13     5.00        1.03       1/ 819      3.32%    0.80
   13     1    13000012     51.66    47.06        1.10         4200
               13000006      5.02     4.84        1.04       1/ 836      3.75%    0.79
   12     1    12000006     46.63    42.22        1.10         6000
               12000006      7.05     6.66        1.06       1/ 852      8.05%    0.78
   11     1    11000006     39.59    35.56        1.11         4500
               11000012      5.02     4.59        1.09       1/ 897      4.64%    0.74
   10     1    10000012     34.57    30.97        1.12         4500
               10000006      4.85     4.38        1.11       1/ 929      4.51%    0.74
    9     1     9000006     29.73    26.59        1.12         4500
                9000006      4.67     4.18        1.12       1/ 964      4.65%    0.75
    8     1     8000006     25.06    22.41        1.12         4500
                8000006      4.48     3.98        1.12       1/1005      7.42%    0.76
    7     1     7000006     20.58    18.43        1.12         9000
                7000006      8.33     7.38        1.13       1/1080     15.66%    0.74
    6     1     6000012     12.25    11.05        1.11         4500
                6000006      3.51     3.11        1.13       1/1283     13.93%    0.66
    5     1     5000012      8.74     7.94        1.10         4500
                5000012      3.00     2.68        1.12       1/1499     29.29%    0.66
    4     1     4000012      5.74     5.26        1.09        12500
                4000012      5.74     5.26        1.09       1/2177     99.94%    0.54
    3     1     3000369      0.11     0.06        1.00         6700
                3000369      0.11     0.06        1.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00        1.00         3900
                2000150      0.01     0.00        1.00       1/9999      0.00%    1.00
    1     1     1000152      0.01     0.00        1.00         3900
                1000152      0.01     0.00        1.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/680  (33层1塔)
  X方向最大位移与层平均位移的比值：  1.12  (8层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.20  (46层1塔)

  === 工况7 === +X 方向风荷载作用下横风向风振的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy    Max-Dy/h    DyR/Dy    Ratio_AY

   46     1    46000118    224.50   223.03        1.01         3700
               46000053      4.84     3.99        1.21       1/ 764     16.74%    1.00
   45     1    45000009    220.44   219.42        1.00         4550
               45000007      6.47     5.74        1.13       1/ 703      2.17%    0.90
   44     1    44000015    214.38   213.89        1.00         4200
               44000269      5.34     5.34        1.00       1/ 786      0.60%    0.92
   43     1    43000015    209.03   208.55        1.00         4200
               43000275      5.37     5.37        1.00       1/ 781      0.54%    0.89
   42     1    42000015    203.66   203.18        1.00         4200
               42000274      5.40     5.40        1.00       1/ 777      0.53%    0.85
   41     1    41000014    198.26   197.78        1.00         4200
               41000274      5.43     5.43        1.00       1/ 773      0.50%    0.84
   40     1    40000015    192.83   192.35        1.00         4200
               40000034      5.46     5.46        1.00       1/ 769      0.42%    0.84
   39     1    39000015    187.37   186.89        1.00         4200
               39000274      5.48     5.48        1.00       1/ 766      0.33%    0.84
   38     1    38000015    181.89   181.41        1.00         4200
               38000014      5.50     5.50        1.00       1/ 764      0.07%    0.84
   37     1    37000015    176.39   175.92        1.00         4200
               37000034      5.51     5.50        1.00       1/ 763      0.26%    0.84
   36     1    36000015    170.88   170.42        1.00         4200
               36000014      5.52     5.51        1.00       1/ 761      0.07%    0.84
   35     1    35000014    165.37   164.90        1.00         4200
               35000034      5.53     5.52        1.00       1/ 759      0.88%    0.83
   34     1    34000014    159.86   159.39        1.00         6000
               34000002      7.99     7.94        1.01       1/ 751      0.02%    0.84
   33     1    33000014    151.96   151.45        1.00         8400
               33000003     11.22    11.12        1.01       1/ 749      1.23%    0.84
   32     1    32000014    140.94   140.33        1.00         4200
               32000003      5.55     5.49        1.01       1/ 757      0.18%    0.83
   31     1    31000015    135.51   134.84        1.00         4200
               31000002      5.56     5.48        1.01       1/ 755      0.43%    0.83
   30     1    30000015    130.10   129.35        1.01         4200
               30000003      5.54     5.46        1.02       1/ 758      0.55%    0.83
   29     1    29000014    124.73   123.90        1.01         4200
               29000003      5.52     5.43        1.02       1/ 761      0.61%    0.83
   28     1    28000014    119.40   118.47        1.01         4200
               28000003      5.50     5.39        1.02       1/ 764      0.68%    0.82
   27     1    27000014    114.11   113.07        1.01         4200
               27000002      5.47     5.36        1.02       1/ 768      0.77%    0.82
   26     1    26000015    108.86   107.72        1.01         4200
               26000002      5.43     5.32        1.02       1/ 774      0.91%    0.82
   25     1    25000015    103.65   102.40        1.01         4200
               25000002      5.39     5.27        1.02       1/ 780      1.25%    0.82
   24     1    24000015     98.51    97.13        1.01         4200
               24000003      5.32     5.20        1.02       1/ 790      0.14%    0.82
   23     1    23000015     93.42    91.93        1.02         6000
               23000002      7.59     7.42        1.02       1/ 790      1.67%    0.82
   22     1    22000014     86.17    84.51        1.02         8400
               22000003     10.39    10.21        1.02       1/ 808      3.33%    0.82
   21     1    21000015     76.14    74.30        1.02         4200
               21000003      4.99     4.92        1.01       1/ 842      2.16%    0.80
   20     1    20000014     71.25    69.36        1.03         4200
               20000014      4.84     4.83        1.00       1/ 868      2.29%    0.79
   19     1    19000015     66.41    64.52        1.03         4200
               19000015      4.76     4.72        1.01       1/ 883      2.42%    0.79
   18     1    18000014     61.65    59.80        1.03         4200
               18000015      4.66     4.61        1.01       1/ 901      2.57%    0.79
   17     1    17000014     56.99    55.19        1.03         4200
               17000015      4.56     4.49        1.01       1/ 922      2.80%    0.79
   16     1    16000014     52.43    50.70        1.03         4200
               16000014      4.45     4.36        1.02       1/ 945      3.14%    0.79
   15     1    15000015     47.99    46.34        1.04         4200
               15000014      4.33     4.23        1.02       1/ 971      3.38%    0.79
   14     1    14000015     43.66    42.11        1.04         4200
               14000015      4.21     4.09        1.03       1/ 998      3.91%    0.78
   13     1    13000014     39.45    38.02        1.04         4200
               13000015      4.09     3.93        1.04       1/1028      3.96%    0.77
   12     1    12000014     35.37    34.10        1.04         6000
               12000014      5.68     5.38        1.06       1/1056      5.84%    0.77
   11     1    11000015     29.68    28.71        1.03         4500
               11000015      4.00     3.80        1.05       1/1125      4.76%    0.75
   10     1    10000015     25.68    24.91        1.03         4500
               10000015      3.76     3.63        1.04       1/1195      5.53%    0.75
    9     1     9000015     21.92    21.29        1.03         4500
                9000014      3.53     3.42        1.03       1/1274      6.87%    0.75
    8     1     8000014     18.39    17.86        1.03         4500
                8000015      3.28     3.19        1.03       1/1371      9.88%    0.73
    7     1     7000014     15.11    14.67        1.03         9000
                7000014      5.93     5.75        1.03       1/1519     13.48%    0.70
    6     1     6000015      9.18     8.93        1.03         4500
                6000014      2.55     2.49        1.03       1/1763     11.80%    0.67
    5     1     5000014      6.63     6.44        1.03         4500
                5000015      2.25     2.19        1.03       1/2000     30.43%    0.68
    4     1     4000014      4.38     4.23        1.03        12500
                4000142      4.38     4.23        1.03       1/2856     99.94%    0.54
    3     1     3000369      0.06     0.03        1.00         6700
                3000369      0.06     0.03        1.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00        1.00         3900
                2000148      0.01     0.00        1.00       1/9999      0.00%    1.00
    1     1     1000143      0.01     0.00        1.00         3900
                1000152      0.01     0.00        1.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/703  (45层1塔)
  Y方向最大位移与层平均位移的比值：  1.04  (13层1塔)
  Y方向最大层间位移与平均层间位移的比值：  1.21  (46层1塔)

  === 工况4 === -X 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000026    245.81   244.08        1.01         3700
               46000118      3.91     3.26        1.20       1/ 945     20.15%    1.00
   45     1    45000012    242.37   240.97        1.01         4550
               45000057      5.25     4.67        1.12       1/ 867      4.57%    0.92
   44     1    44000006    238.08   236.64        1.01         4200
               44000005      4.68     4.57        1.02       1/ 898      3.07%    0.95
   43     1    43000012    233.62   232.07        1.01         4200
               43000005      4.81     4.71        1.02       1/ 872      3.10%    0.94
   42     1    42000006    229.01   227.36        1.01         4200
               42000011      4.96     4.86        1.02       1/ 846      3.10%    0.89
   41     1    41000012    224.25   222.50        1.01         4200
               41000011      5.12     5.01        1.02       1/ 821      3.01%    0.89
   40     1    40000012    219.35   217.49        1.01         4200
               40000011      5.27     5.16        1.02       1/ 797      2.77%    0.88
   39     1    39000006    214.30   212.33        1.01         4200
               39000005      5.41     5.30        1.02       1/ 776      2.22%    0.88
   38     1    38000006    209.10   207.03        1.01         4200
               38000011      5.54     5.42        1.02       1/ 758      1.07%    0.88
   37     1    37000012    203.80   201.61        1.01         4200
               37000005      5.62     5.48        1.03       1/ 747      2.07%    0.86
   36     1    36000006    198.47   196.13        1.01         4200
               36000011      5.74     5.59        1.03       1/ 732      2.01%    0.86
   35     1    35000006    193.02   190.53        1.01         4200
               35000005      5.84     5.70        1.02       1/ 719      4.00%    0.86
   34     1    34000012    187.45   184.83        1.01         6000
               34000011      8.69     8.47        1.03       1/ 691      1.87%    0.88
   33     1    33000010    179.20   176.36        1.02         8400
               33000011     12.36    12.08        1.02       1/ 680      1.61%    0.88
   32     1    32000006    167.38   164.27        1.02         4200
               32000011      6.07     5.95        1.02       1/ 692      0.41%    0.84
   31     1    31000006    161.56   158.33        1.02         4200
               31000011      6.10     5.97        1.02       1/ 688      0.22%    0.83
   30     1    30000012    155.72   152.36        1.02         4200
               30000005      6.11     5.98        1.02       1/ 687      0.36%    0.83
   29     1    29000006    149.87   146.37        1.02         4200
               29000011      6.14     6.01        1.02       1/ 684      0.31%    0.84
   28     1    28000012    143.99   140.37        1.03         4200
               28000011      6.15     6.02        1.02       1/ 682      0.21%    0.84
   27     1    27000006    138.10   134.34        1.03         4200
               27000011      6.17     6.04        1.02       1/ 681      0.06%    0.84
   26     1    26000006    132.19   128.30        1.03         4200
               26000005      6.17     6.04        1.02       1/ 681      0.17%    0.84
   25     1    25000012    126.28   122.26        1.03         4200
               25000005      6.15     6.03        1.02       1/ 683      0.75%    0.83
   24     1    24000006    120.37   116.23        1.04         4200
               24000005      6.11     5.99        1.02       1/ 688      0.07%    0.83
   23     1    23000006    114.50   110.25        1.04         6000
               23000005      8.72     8.54        1.02       1/ 688      1.19%    0.83
   22     1    22000006    106.14   101.70        1.04         8400
               22000011     12.06    11.81        1.02       1/ 696      4.15%    0.82
   21     1    21000006     94.58    89.89        1.05         4200
               21000005      5.74     5.66        1.01       1/ 731      1.48%    0.79
   20     1    20000006     89.00    84.23        1.06         4200
               20000011      5.64     5.58        1.01       1/ 745      1.51%    0.79
   19     1    19000012     83.47    78.65        1.06         4200
               19000005      5.53     5.49        1.01       1/ 760      1.50%    0.80
   18     1    18000006     78.01    73.15        1.07         4200
               18000005      5.42     5.41        1.00       1/ 774      1.59%    0.81
   17     1    17000006     72.61    67.74        1.07         4200
               17000012      5.34     5.33        1.00       1/ 787      1.77%    0.81
   16     1    16000006     67.27    62.42        1.08         4200
               16000012      5.28     5.23        1.01       1/ 796      2.03%    0.81
   15     1    15000006     62.00    57.18        1.08         4200
               15000012      5.21     5.13        1.02       1/ 807      2.41%    0.80
   14     1    14000006     56.79    52.06        1.09         4200
               14000012      5.13     5.00        1.03       1/ 819      3.32%    0.80
   13     1    13000012     51.66    47.06        1.10         4200
               13000006      5.02     4.84        1.04       1/ 836      3.75%    0.79
   12     1    12000006     46.63    42.22        1.10         6000
